Segmento	Produto	Cor	Preco	Gramatura m2
PERCINTA	PERCINTA ASSENTO	50 LIGHT	0,86	
PERCINTA	PERCINTA ENCOSTO	40 LIGHT	0,53	
PVC/OUTDOOR	SPIN ORBIT	50, 52, 72, 73	30,25	375
PVC/OUTDOOR	TELA OUTDOOR	01, 08, 30, 50, 72, 74, 75	82,58	816
PVC/OUTDOOR	TELA PVC 100	01, 08, 20, 25, 34, 36, 37, 46, 50, 54, 56, 59, 72, 73, 74, 77, 78, 79	38,18	457
PVC/OUTDOOR	TELA PVC 200	52	38,18	411
PVC/OUTDOOR	TELA PVC 300	37, 56, 72, 73, 74, 75, 76	38,18	462
PVC/OUTDOOR	TELA PVC CROSS	37, 74, 75, 78, 80	44	466
PVC/OUTDOOR	TELA PVC LIGHT	50, 71	45,74	536
COLCHAO	AC ANT FIRE	06, 74	18,33	126,4
COLCHAO	AC ANT FIRE INV	74	18,33	127,8
COLCHAO	ADVANCE 300	01, 73	25,23	235,8
COLCHAO	ADVANCE 700	1	25,23	238
COLCHAO	ALTIS NW	02, 34	19,97	158
COLCHAO	ARTEMIS NW NAC	09, 10, 20, 22, 23, 38, 50, 51, 52, 53, 58, 70, 72, 73, 74, 75, 76, 78, 79	19,07	167,2
COLCHAO	ARYA	01, 22, 52, 54	29,16	255
COLCHAO	ATLANTIC NW	50	23,6	229
COLCHAO	ATLANTIC NW	54	23,6	228,6
COLCHAO	ATLANTIC NW	57	23,6	228,6
COLCHAO	BANDE NW	33, 51, 52	14,8	128
COLCHAO	BARBADOS NW	59, 73	19,42	179
COLCHAO	BRAN	01, 16, 22, 52, 54	25,71	251
COLCHAO	CETIM/76	01, 50, 51	13,89	132
COLCHAO	CETIM/76 500	41	13,89	111,6
COLCHAO	CETIM/76 BLACK	51	13,89	132
COLCHAO	COLONY	01, 10, 50, 51, 53, 54, 70, 74	18,04	201
COLCHAO	COLONY 100	01, 10, 51, 52, 54, 74, 75	18,04	203
COLCHAO	COLONY 100	50	18,04	2003
COLCHAO	COLONY 300	01, 52, 74	18,04	200,4
COLCHAO	COLONY 300	10, 33, 50, 51, 53, 54, 70, 75	18,04	200,4
COLCHAO	COLONY 300	12, 15, 17, 41	18,04	193,5
COLCHAO	CORONNA 200	9	17,11	141
COLCHAO	CORONNA 300	45, 46	17,11	130
COLCHAO	CORONNA 400	6	17,11	141
COLCHAO	CORONNA 500	46	17,11	126
COLCHAO	CORRIENTE NW	34, 35, 39, 51, 52, 55	17	177
COLCHAO	CORRIENTE NW	79	17	160
COLCHAO	CURVES NW	54	19,14	171
COLCHAO	DAXOS	01, 16, 22, 52, 54	26,14	255
COLCHAO	DREAMS 100	6	16,08	136
COLCHAO	DREAMS 300	10, 45, 53, 72	16,08	129
COLCHAO	DREAMS 400	6	16,08	141
COLCHAO	DREAMS 500	06, 53, 72	16,08	133
COLCHAO	DREAMS 600	06, 45, 53	16,08	123
COLCHAO	DREAMS 700	06, 72	16,08	149
COLCHAO	ENV. CIVIC 500	50 INV	15,77	113
COLCHAO	ENV. HOUSTON	50, 74	15,77	111
COLCHAO	ENV. LUGANO	50	15,77	119
COLCHAO	ENV. MADISON 500	6	15,77	122
COLCHAO	ENV. MEMPHIS 500	6	15,77	
COLCHAO	ENV. NORFOLK 500	6	15,77	127
COLCHAO	ENV. SEATLE	50	15,77	133
COLCHAO	ENYGMA NW	02, 83	17,48	166
COLCHAO	EURON	01, 16, 22, 52, 54	26,14	252
COLCHAO	JACQUARD 600	10, 51, 72	13,82	111
COLCHAO	JACQUARD 700	30, 40, 51, 70, 72	13,82	111
COLCHAO	KUPON NW	01, 21, 22, 51, 55, 56, 57, 70, 73, 75, 79, 80	19,14	171
COLCHAO	KUPON NW	34, 52, 53, 71, 72, 78	19,14	170,8
COLCHAO	KUPON NW	54	19,14	170,8
COLCHAO	LE MANS NW	50, 78	22,52	206,6
COLCHAO	LINUM NW	02, 22, 30, 40, 51, 52, 53, 54, 57, 70, 71, 72, 74, 77, 80	16,25	156
COLCHAO	LINUM NW	55	16,25	156
COLCHAO	LINUM NW BP	50	16,25	164
COLCHAO	LISSE NW	33, 50, 52, 53, 59, 70, 75	15,4	148
COLCHAO	MF CABO VERDE	01, 13, 20, 41	24,68	294
COLCHAO	MF CANARIAS	01, 13, 20, 41	25,89	299
COLCHAO	MF LAS PALMAS	01, 13, 20, 41	25,77	290
COLCHAO	MF SUMMER	1	19,4	195,2
COLCHAO	MF SUMMER 250	01, 06, 40, 50	19,4	197
COLCHAO	MF SUMMER 250	45, 46	22,28	181
COLCHAO	MF SUMMER 450	45, 46	22,28	184
COLCHAO	MF SUMMER 450	50	19,4	200
COLCHAO	MF SUMMER 550	23, 70	19,4	195
COLCHAO	MF SUMMER KLEE	20	19,39	225
COLCHAO	MF SUMMER LEAFE	35	19,39	192
COLCHAO	MF SUMMER PLAY	59	19,39	193
COLCHAO	MF SUMMER TRIADE	22	19,39	225
COLCHAO	MF TENERIFE	01, 13, 20, 41	25,89	297
COLCHAO	MODERNE NW	01, 02, 03, 18, 19, 20, 33, 41, 42, 50, 51, 52, 53, 54, 55, 59, 68, 70, 72, 74, 75, 76	19,69	189
COLCHAO	MORE NW	11, 50, 52, 72, 73	25,03	258
COLCHAO	NEW CODE NW	01, 03, 10, 23, 33, 40, 52, 54, 73, 74, 75, 76, 80	15,4	147
COLCHAO	NEW CODE NW	70	15,4	147,4
COLCHAO	NEW WAVE NW	1	16,73	147,4
COLCHAO	NEW WAVE NW	33, 50, 52, 53, 54, 59, 70, 73, 74, 75	15,4	147,4
COLCHAO	NW FLUENCE 100	10, 50, 54, 78	13,44	128,4
COLCHAO	NW FLUENCE 100 INV	76	13,44	128
COLCHAO	NW FLUENCE 200 INV	73	13,44	130
COLCHAO	NW FLUENCE 300 INV	9	13,44	109
COLCHAO	NW LIGHT DES	01 50	13,7	132
COLCHAO	NW LIGHT DES 02	06, 52	13,7	104
COLCHAO	NW LIGHT LOSANGO	06, 78	13,7	130,6
COLCHAO	NW LIGHT LOSANGO	50, 51, 54, 74	13,7	130,6
COLCHAO	NW LIGHT LOSANGO INV	20, 77	13,7	125
COLCHAO	NW LUMIERE 100	74	18,59	169
COLCHAO	NW LUMIERE 100	01, 10, 21, 70	18,59	166
COLCHAO	NW LUMIERE 600	10	18,59	
COLCHAO	NW RUSTIC 100	10, 34, 51, 52, 53, 72, 75, 76	15,56	142
COLCHAO	NW RUSTIC 600	22	15,56	140,3
COLCHAO	NW RUSTIC 700	34, 52	15,56	134,7
